Аэродромный;Аэр/о/дро́м/н/ый.
Задёргать 2;За/дёрг/а/ть² (начать дёргать).

Задёргаться 1;За/дёрг/а/ть/ся¹ (измучиться).

Задёргаться 2;За/дёрг/а/ть/ся² (начать дёргаться).

Задёрнутый;За/дёр/ну/т/ый.

Закрякать;За/кря́/ка/ть.

Закряхтеть;За/кряхт/е́/ть.

Закудахтать;За/куда́хт/а/ть.

Закукарекать;За/кукаре́к/а/ть.

Закуковать;За/ку/к/ова́/ть.

Закулисный;За/кули́с/н/ый.

Закуп;За́/куп/.

Закупить;За/куп/и́/ть.

Закупка;За/ку́п/к/а.

Закупленный;За/ку́пл/енн/ый.

Закупной;За/куп/н/о́й.

Закупоренный;За/ку́пор/енн/ый.

Закупоривание;За/ку́пор/ива/ни/е [й/э].

Закупорка;За/ку́пор/к/а.

Закупочный;За/ку́п/оч/н/ый.

Закупщик;За/ку́п/щик/.

Закуренный;За/ку́р/енн/ый.

Закурлыкать;За/курлы́/ка/ть.

Закуролесить;За/куроле́с/и/ть.

Закурчавиться;За/курча́в/и/ть/ся.

Закусанный;За/ку́с/а/нн/ый.

Закусать 1;За/кус/а́/ть¹ (загрызть).

Закусить 2;За/кус/и́/ть² (поесть немного).

Загубленный;За/гу́бл/енн/ый.

Загудеть;За/гуд/е́/ть.

Загудронированный;За/гудрон/и́р/ова/нн/ый.

Загудронировать;За/гудрон/и́р/ова/ть.

Загул;За/гу́л/.

Загуливать;За/гу́л/ива/ть (от за/гул/я́/ть).

Загуливаться;За/гу́л/ива/ть/ся (от за/гул/я́/ть/ся).

Загулять;За/гул/я́/ть.

Загуляться;За/гул/я́/ть/ся.

Загумённый;За/гумён/н/ый.

Загустелый;За/густ/е́/л/ый.

Загустеть;За/густ/е́/ть.

Загуститель;За/густ/и́/тель/.

Загуторить;За/гуто́р/и/ть.

Загущённый;За/гущ/ённ/ый.

Зад;Зад/.

Задавака;Зада/ва́/к/а, м. и ж.

Задавала;Зада/ва́/л/а, м. и ж.

Задаваться 2;За/да/ва́/ть/ся² (от за/да́/ть/ся).

Задаваться 3;Зада/ва́/ть/ся³ (важничать).

Задавленный;За/да́вл/енн/ый.

Задавший;За/да́/вш/ий (от за/да́/ть).

Задавшийся;За/да́вш/ий/ся (от за/да́/ть/ся).

Замечтаться;За/мечт/а́/ть/ся.

Замешанный;За/ме́ш/а/нн/ый (от за/меш/а́/ть).

Замешательство;За/меша́/тель/ств/о.

Замешать 1;За/меша́/ть¹ (тесто).

Замешать 2;За/меш/а́/ть² (начать мешать²).

Замешенный;За/ме́ш/енн/ый (от за/мес/и́/ть).

Замешкаться;За/ме́шка/ть/ся.

Замещение;За/мещ/е́ни/е [й/э].

Замещённый;За/мещ/ённ/ый.

Замигать;За/миг/а́/ть.

Заминированный;За/мин/и́р/ова/нн/ый.

Заминировать;За/мин/и́р/ова/ть.

Заминка;За/ми́н/к/а.

Замирание;За/мир/а́/ни/е [й/э].

Замирать;За/мир/а́/ть.

Замирение;За/мир/е́ни/е [й/э].

Замирённый;За/мир/ённ/ый.

Замкнутость;За́/мк/ну/т/ость/.

Замкнутый;За́/мк/ну/т/ый.

Замковый;Замк/о́в/ый (от замок/).

Замковый;За́мк/ов/ый (от за́мок/).

Замлеть;За/мле́/ть.

Звероподобный;Звер/о/подо́б/н/ый.

Зверопромышленник;Звер/о/промы́шл/енн/ик/.

Зверосовхоз;Звер/о/сов/хо́з/.

Звероферма;Звер/о/фе́рм/а.

Зверский;Зве́р/ск/ий.

Зверство;Зве́р/ств/о.

Зверствовать;Зве́р/ств/ова/ть.

Зверушка;Звер/у́шк/а и звер/ю́шк/а.

Зверь;Зверь/.

Зверьё;Зверь/ё [й/о́].

Зверюга;Звер/ю́г/а, м. и ж.

Зверюшка;Звер/ю́шк/а и звер/у́шк/а.

Звон;Звон/.

Звонарь;Звон/а́рь/.

Звонец;Звон/е́ц/.

Звонкий;Зво́н/к/ий.

Звонковый;Звон/к/о́в/ый.

Звонкоголосый;Звон/к/о/голо́с/ый.

Звонница;Зво́н/ниц/а.

Звонок;Звон/о́к/.

Звоночек;Звон/о́ч/ек/.

Звончатый;Зво́н/чат/ый.

Звонче;Зво́нч/е, сравн. ст. (от зво́нкий, зво́нко).

Звук;Звук/.

Звуковидение;Звук/о/ви́д/ени/е [й/э].

Звуковик;Звук/ов/и́к/.

Звуковой;Звук/ов/о́й.

Звуковоспроизведение;Звук/о/вос/произвед/е́ни/е [й/э].

Засохлый;За/со́х/л/ый.

Засохнувший;За/со́х/ну/вш/ий.

Засохнуть;За/со́х/ну/ть.

Засохший;За/со́х/ш/ий.

Засочиться;За/соч/и́/ть/ся.

Заспанный;За́/сп/а/нн/ый.

Заспать;За/сп/а́/ть.

Заспаться;За/спа́/ть/ся.

Заспесивиться;За/спес/и́в/и/ть/ся.

Заспешить;За/спеш/и́/ть.

Заспинник;За/спи́н/ник/.

Заспинный;За/спи́н/н/ый.

Заспиртованный;За/спирт/о́ва/нн/ый.

Заспиртовать;За/спирт/ова́/ть.

Заспорить;За/спо́р/и/ть.

Заспориться;За/спо́р/и/ть/ся.

Засрамить;За/срам/и́/ть.

Засрамлённый;За/срамл/ённ/ый.

Застава;Заста́в/а.

Заставать;Заста/ва́/ть.

Заставить 1;За/ста́в/и/ть¹ (комнату).

Заставить 2;Заста́в/и/ть² (принудить).

Заставиться;За/ста́в/и/ть/ся (от за/ста́в/и/ть¹).

Заставка 1;За/ста́в/к/а¹ (рисунок).

Заставка 2;За/ста́в/к/а² (щит).

Заставленный;За/ста́вл/енн/ый.

Заставлять 1;За/ставл/я́/ть¹ (комнату).

Заставлять 2;Заставл/я́/ть² (принуждать).

Заставляться;За/ставл/я́/ть/ся (от за/ставл/я́/ть¹).

Запрокинутый;За/про/ки́/ну/т/ый.

Запропавший;За/пропа́/вш/ий.

Запропасть;За/пропа́с/ть.

Запрос;За/про́с/.

Запросить 1;За/прос/и́/ть¹ (сделать запрос).

Запросто;За́/прост/о.

Запротестовать;За/протест/ова́/ть.

Запротоколированный;За/протокол/и́р/ова/нный.

Запротоколировать;За/протокол/и́р/ова/ть.

Запрошенный;За/про́ш/енн/ый.

Запрошлый;За/про́/ш/л/ый.

Запруда;За/пру́д/а.

Запрудить;За/пруд/и́/ть.

Запруженный;За/пру́ж/енн/ый и за/пруж/ённ/ый.

Запрыгать;За/пры́г/а/ть.

Запрыгивать;За/пры́г/ива/ть (от за/пры́г/нуть).

Запрыгнуть;За/пры́г/ну/ть.

Запряжка;За/пря́ж/к/а.

Запряжной;За/пряж/н/о́й.

Запряжённый;За/пряж/ённ/ый.

Запрятанный;За/пря́т/а/нн/ый.

Зашнырять;За/шныр/я́/ть.

Зашоренный;За/шо́р/енн/ый.

Зашпаклевать;За/шпаклева́/ть.

Зашпаклёванный;За/шпаклёва/нн/ый.

Зашпандоривать;Зашпандо́р/ива/ть.

Зашпигованный;За/шпиг/о́ва/нн/ый.

Зашпиговать;За/шпиг/ова́/ть.

Зашпиленный;За/шпи́л/енн/ый.

Зашпунтованный;За/шпунт/о́ва/нн/ый.

Зашпунтовать;За/шпунт/ова́/ть.

Заштампованный;За/штамп/о́ва/нн/ый.

Заштамповать;За/штамп/ова́/ть.

Заштатный;За/шта́т/н/ый.

Заштемпелевать;За/штемпел/ева́/ть.

Заштемпелёванный;За/штемпел/ёва/нн/ый.

Заштилеть;За/штил/е́/ть.

Заштопанный;За/што́п/а/нн/ый.

Заштопать;За/што́п/а/ть.

Зашторенный;За/што́р/енн/ый.

Зашторить;За/што́р/и/ть.

Заштрихованный;За/штрих/о́ва/нн/ый.

Заштриховать;За/штрих/ова́/ть.

Замминистра;Зам/мини́стр/а, нескл., м. и ж.

Замогильный;За/моги́ль/н/ый.

Замок;Замо́к/.

Замок;За́мок/.

Замокать;За/мок/а́/ть.

Замокнуть;За/мо́к/ну/ть.

Замокший;За/мо́к/ш/ий.

Замолвить;За/мо́лв/и/ть.

Замолить;За/мол/и́/ть.

Замолкать;За/молк/а́/ть.

Замолкнувший;За/мо́лк/ну/вш/ий.

Замолкнуть;За/мо́лк/ну/ть.

Замолкший;За/мо́лк/ш/ий.

Замолчать;За/молч/а́/ть.

Замолённый;За/мол/ённ/ый.

Замонолитить;За/моно/ли́т/и/ть.

Замоноличенный;За/моно/ли́ч/енн/ый.

Замоноличивать;За/моно/ли́ч/ива/ть.

Замор;За/мо́р/.

Замораживание;За/мора́ж/ива/ни/е [й/э].

Заморгать;За/морг/а́/ть.

Замордованный;За/морд/о́ва/нн/ый.

Замордовать;За/морд/ова́/ть.

Замороженный;За/моро́ж/енн/ый.

Заморозить;За/моро́з/и/ть.

Заморозка;За/моро́з/к/а.

Заморозки;За́/мороз/к/и.

Заморённый;За/мор/ённ/ый.

Запчасти;Зап/ча́ст/и.

Запылать;За/пыл/а́/ть.

Запылить 1;За/пыл/и́/ть¹ (костюм).

Запылить 2;За/пыл/и́/ть² (начать пылить).

Запылиться;За/пыл/и́/ть/ся (от за/пыл/и́/ть¹).

Запылённость;За/пыл/ённ/ость/.

Запылённый;За/пыл/ённ/ый.

Запыхаться;Запыха́/ть/ся.

Запыхтеть;За/пыхт/е́/ть.

Запьянеть;За/пь/ян/е́/ть.

Запьянствовать;За/пь/я́н/ств/ова/ть.

Запьянцовский;За/пь/ян/ц/о́в/ск/ий.

Запястный;Запя́ст/н/ый.

Запястье;Запя́сть/е [й/э].

Запятая;Запят/а́я, -о́й.

Запятки;За/пя́т/к/и.

Запятнанный;За/пя́тн/а/нн/ый.

Запятнать;За/пятн/а́/ть.

Зарабатываться 2;За/раба́т/ыва/ть/ся² (от за/рабо́т/а/ть/ся).

Заработанный;За/рабо́т/а/нн/ый.

Заработать 1;За/рабо́т/а/ть¹ (деньги).

Заработать 2;За/рабо́т/а/ть² (начать работать).

Заработаться;За/рабо́т/а/ть/ся (долго работать).

Заработный;За́/работ/н/ый.

Заработок;За́/работ/ок/.

Заравнивание;За/ра́вн/ива/ни/е [й/э].

Заравниватель;За/ра́вн/ива/тель/.

Зашалить;За/шал/и́/ть.

Зашамкать;За/ша́мк/а/ть.

Зашарить;За/ша́р/и/ть.

Зашарканный;За/ша́рк/а/нн/ый.

Зашаркать 1;За/ша́рк/а/ть¹ (пол).

Зашаркать 2;За/ша́рк/а/ть² (начать шаркать).

Зашарпанный;За/ша́рп/а/нн/ый.

Зашарпать;За/ша́рп/а/ть.

Зашвартованный;За/шварт/о́ва/нн/ый.

Зашвырнутый;За/швы́р/ну/т/ый.

Зашвырнуть;За/швыр/ну́/ть.

Зашвырять 1;За/швыр/я́/ть¹ (закидать).
